楼盘名称,type,房型,area,insale,房源,单价,单位,总价
天创长江云栖风华,直播中,三居,汉阳,,普通住宅,,nan,nan
龙湖·揽境,真现房,三居,硚口,在售,普通住宅,13500,元/㎡,168万元
武汉沙湖中心·云玺,,,武昌,在售,地铁沿线,13000,元/㎡,nan
中建壹品·汉芯公馆,纯新盘,三居,江岸,,普通住宅,,nan,nan
保利天珺,,三居,江岸,在售,普通住宅,45000,元/㎡,520万元
宝业·璞园,纯新盘,三居,东湖高新区,在售,普通住宅,20000,元/㎡,196万元
大华铂金悦府,真大牌,三居,青山,在售,普通住宅,22000,元/㎡,218万元
中国铁建·花语天著,真大牌,三居,江岸,在售,普通住宅,13300,元/㎡,129万元
中寰润府,真大牌,四居,江岸,在售,普通住宅,36000,元/㎡,504万元
龙湖·御湖境,纯新盘,三居,洪山,在售,大平层,32000,元/㎡,384万元
龙湖清能天曜,真大牌,三居,江岸,在售,普通住宅,26919,元/㎡,350万元
武汉城建悦享湖璟,,三居,经济开发区,在售,普通住宅,101,万元/套,nan
华发公园首府,,三居,硚口,在售,普通住宅,32000,元/㎡,nan
武汉二十四城,,三居,东西湖,在售,普通住宅,10500,元/㎡,83万元
联投花山河,,三居,东湖高新区,,普通住宅,15000,元/㎡,149万元
万科新都会,,三居,洪山,在售,普通住宅,28000,元/㎡,246万元
万科保利联投理想星光,,三居,江夏,在售,普通住宅,12500,元/㎡,113万元
禹洲朗廷元著,,三居,经济开发区,在售,普通住宅,13500,元/㎡,160万元
武汉城建·中央云城,,三居,江汉,在售,普通住宅,45000,元/㎡,nan
地铁时代云上城,,二居,东西湖,在售,普通住宅,14000,元/㎡,116万元
保利庭瑞·阅江台,,三居,汉阳,在售,普通住宅,17000,元/㎡,138万元
楚天都市春水行云,,四居,洪山,在售,合院,40000,元/㎡,nan
武汉长江中心·云玺,,,武昌,在售,loft,13000,元/㎡,nan
澳门山庄二期,,三居,江夏,在售,普通住宅,11600,元/㎡,nan
万科华生公园大道,,三居,硚口,在售,普通住宅,16500,元/㎡,nan
金融街金悦府,,三居,江夏,在售,普通住宅,16500,元/㎡,nan
城投联投江南岸,,三居,洪山,在售,普通住宅,17500,元/㎡,nan
能建·长江华府,,三居,江岸,在售,普通住宅,34000,元/㎡,350万元
中国电建地产·洺悦江湾,,三居,汉阳,在售,普通住宅,18000,元/㎡,nan
大华锦绣前城,,三居,青山,在售,普通住宅,21500,元/㎡,204万元
金地国际城,,二居,蔡甸,在售,普通住宅,7900,元/㎡,62万元
信达地产天纵第五园,,二居,硚口,在售,普通住宅,15800,元/㎡,128万元
天创黄金时代,,三居,汉阳,在售,普通住宅,11000,元/㎡,104万元
融创光谷壹号院,,三居,东湖高新区,在售,普通住宅,29500,元/㎡,310万元
尚城国际,,三居,汉阳,在售,普通住宅,16000,元/㎡,170万元
联投临溪渚,,二居,东湖高新区,,合院,8500,元/㎡,94万元
天创长江云栖风华,直播中,三居,汉阳,,普通住宅,,nan,nan
保利·锦上,,三居,洪山,在售,普通住宅,20900,元/㎡,284万元
龙湖·揽境,真现房,三居,硚口,在售,普通住宅,13500,元/㎡,168万元
武汉沙湖中心·云玺,,,武昌,在售,地铁沿线,13000,元/㎡,nan
中建壹品·汉芯公馆,纯新盘,三居,江岸,,普通住宅,,nan,nan
保利天珺,,三居,江岸,在售,普通住宅,45000,元/㎡,520万元
大华铂金悦府,真大牌,三居,青山,在售,普通住宅,22000,元/㎡,218万元
中国铁建·花语天著,真大牌,三居,江岸,在售,普通住宅,13300,元/㎡,129万元
中寰润府,真大牌,四居,江岸,在售,普通住宅,36000,元/㎡,504万元
龙湖·御湖境,纯新盘,三居,洪山,在售,大平层,32000,元/㎡,384万元
龙湖清能天曜,真大牌,三居,江岸,在售,普通住宅,26919,元/㎡,350万元
武汉城建悦享湖璟,,三居,经济开发区,在售,普通住宅,101,万元/套,nan
华发公园首府,,三居,硚口,在售,普通住宅,32000,元/㎡,nan
武汉二十四城,,三居,东西湖,在售,普通住宅,10500,元/㎡,83万元
联投花山河,,三居,东湖高新区,,普通住宅,15000,元/㎡,149万元
万科新都会,,三居,洪山,在售,普通住宅,28000,元/㎡,246万元
万科保利联投理想星光,,三居,江夏,在售,普通住宅,12500,元/㎡,113万元
禹洲朗廷元著,,三居,经济开发区,在售,普通住宅,13500,元/㎡,160万元
武汉城建·中央云城,,三居,江汉,在售,普通住宅,45000,元/㎡,nan
地铁时代云上城,,二居,东西湖,在售,普通住宅,14000,元/㎡,116万元
保利庭瑞·阅江台,,三居,汉阳,在售,普通住宅,17000,元/㎡,138万元
楚天都市春水行云,,四居,洪山,在售,合院,40000,元/㎡,nan
武汉长江中心·云玺,,,武昌,在售,loft,13000,元/㎡,nan
澳门山庄二期,,三居,江夏,在售,普通住宅,11600,元/㎡,nan
万科华生公园大道,,三居,硚口,在售,普通住宅,16500,元/㎡,nan
金融街金悦府,,三居,江夏,在售,普通住宅,16500,元/㎡,nan
城投联投江南岸,,三居,洪山,在售,普通住宅,17500,元/㎡,nan
能建·长江华府,,三居,江岸,在售,普通住宅,34000,元/㎡,350万元
中国电建地产·洺悦江湾,,三居,汉阳,在售,普通住宅,18000,元/㎡,nan
大华锦绣前城,,三居,青山,在售,普通住宅,21500,元/㎡,204万元
金地国际城,,二居,蔡甸,在售,普通住宅,7900,元/㎡,62万元
信达地产天纵第五园,,二居,硚口,在售,普通住宅,15800,元/㎡,128万元
天创黄金时代,,三居,汉阳,在售,普通住宅,11000,元/㎡,104万元
融创光谷壹号院,,三居,东湖高新区,在售,普通住宅,29500,元/㎡,310万元
尚城国际,,三居,汉阳,在售,普通住宅,16000,元/㎡,170万元
联投临溪渚,,二居,东湖高新区,,合院,8500,元/㎡,94万元
天创长江云栖风华,直播中,三居,汉阳,,普通住宅,,nan,nan
保利·锦上,,三居,洪山,在售,普通住宅,20900,元/㎡,284万元
龙湖·揽境,真现房,三居,硚口,在售,普通住宅,13500,元/㎡,168万元
武汉沙湖中心·云玺,,,武昌,在售,地铁沿线,13000,元/㎡,nan
中建壹品·汉芯公馆,纯新盘,三居,江岸,,普通住宅,,nan,nan
保利天珺,,三居,江岸,在售,普通住宅,45000,元/㎡,520万元
大华铂金悦府,真大牌,三居,青山,在售,普通住宅,22000,元/㎡,218万元
中国铁建·花语天著,真大牌,三居,江岸,在售,普通住宅,13300,元/㎡,129万元
中寰润府,真大牌,四居,江岸,在售,普通住宅,36000,元/㎡,504万元
龙湖·御湖境,纯新盘,三居,洪山,在售,大平层,32000,元/㎡,384万元
龙湖清能天曜,真大牌,三居,江岸,在售,普通住宅,26919,元/㎡,350万元
武汉城建悦享湖璟,,三居,经济开发区,在售,普通住宅,101,万元/套,nan
华发公园首府,,三居,硚口,在售,普通住宅,32000,元/㎡,nan
武汉二十四城,,三居,东西湖,在售,普通住宅,10500,元/㎡,83万元
联投花山河,,三居,东湖高新区,,普通住宅,15000,元/㎡,149万元
万科新都会,,三居,洪山,在售,普通住宅,28000,元/㎡,246万元
万科保利联投理想星光,,三居,江夏,在售,普通住宅,12500,元/㎡,113万元
禹洲朗廷元著,,三居,经济开发区,在售,普通住宅,13500,元/㎡,160万元
武汉城建·中央云城,,三居,江汉,在售,普通住宅,45000,元/㎡,nan
地铁时代云上城,,二居,东西湖,在售,普通住宅,14000,元/㎡,116万元
保利庭瑞·阅江台,,三居,汉阳,在售,普通住宅,17000,元/㎡,138万元
楚天都市春水行云,,四居,洪山,在售,合院,40000,元/㎡,nan
武汉长江中心·云玺,,,武昌,在售,loft,13000,元/㎡,nan
澳门山庄二期,,三居,江夏,在售,普通住宅,11600,元/㎡,nan
万科华生公园大道,,三居,硚口,在售,普通住宅,16500,元/㎡,nan
金融街金悦府,,三居,江夏,在售,普通住宅,16500,元/㎡,nan
城投联投江南岸,,三居,洪山,在售,普通住宅,17500,元/㎡,nan
能建·长江华府,,三居,江岸,在售,普通住宅,34000,元/㎡,350万元
中国电建地产·洺悦江湾,,三居,汉阳,在售,普通住宅,18000,元/㎡,nan
大华锦绣前城,,三居,青山,在售,普通住宅,21500,元/㎡,204万元
金地国际城,,二居,蔡甸,在售,普通住宅,7900,元/㎡,62万元
信达地产天纵第五园,,二居,硚口,在售,普通住宅,15800,元/㎡,128万元
天创黄金时代,,三居,汉阳,在售,普通住宅,11000,元/㎡,104万元
融创光谷壹号院,,三居,东湖高新区,在售,普通住宅,29500,元/㎡,310万元
尚城国际,,三居,汉阳,在售,普通住宅,16000,元/㎡,170万元
联投临溪渚,,二居,东湖高新区,,合院,8500,元/㎡,94万元
天创长江云栖风华,直播中,三居,汉阳,,普通住宅,,nan,nan
保利·锦上,,三居,洪山,在售,普通住宅,20900,元/㎡,284万元
龙湖·揽境,真现房,三居,硚口,在售,普通住宅,13500,元/㎡,168万元
武汉沙湖中心·云玺,,,武昌,在售,地铁沿线,13000,元/㎡,nan
中建壹品·汉芯公馆,纯新盘,三居,江岸,,普通住宅,,nan,nan
保利天珺,,三居,江岸,在售,普通住宅,45000,元/㎡,520万元
大华铂金悦府,真大牌,三居,青山,在售,普通住宅,22000,元/㎡,218万元
中国铁建·花语天著,真大牌,三居,江岸,在售,普通住宅,13300,元/㎡,129万元
中寰润府,真大牌,四居,江岸,在售,普通住宅,36000,元/㎡,504万元
龙湖·御湖境,纯新盘,三居,洪山,在售,大平层,32000,元/㎡,384万元
龙湖清能天曜,真大牌,三居,江岸,在售,普通住宅,26919,元/㎡,350万元
武汉城建悦享湖璟,,三居,经济开发区,在售,普通住宅,101,万元/套,nan
华发公园首府,,三居,硚口,在售,普通住宅,32000,元/㎡,nan
武汉二十四城,,三居,东西湖,在售,普通住宅,10500,元/㎡,83万元
联投花山河,,三居,东湖高新区,,普通住宅,15000,元/㎡,149万元
万科新都会,,三居,洪山,在售,普通住宅,28000,元/㎡,246万元
万科保利联投理想星光,,三居,江夏,在售,普通住宅,12500,元/㎡,113万元
禹洲朗廷元著,,三居,经济开发区,在售,普通住宅,13500,元/㎡,160万元
武汉城建·中央云城,,三居,江汉,在售,普通住宅,45000,元/㎡,nan
地铁时代云上城,,二居,东西湖,在售,普通住宅,14000,元/㎡,116万元
保利庭瑞·阅江台,,三居,汉阳,在售,普通住宅,17000,元/㎡,138万元
楚天都市春水行云,,四居,洪山,在售,合院,40000,元/㎡,nan
武汉长江中心·云玺,,,武昌,在售,loft,13000,元/㎡,nan
澳门山庄二期,,三居,江夏,在售,普通住宅,11600,元/㎡,nan
万科华生公园大道,,三居,硚口,在售,普通住宅,16500,元/㎡,nan
金融街金悦府,,三居,江夏,在售,普通住宅,16500,元/㎡,nan
城投联投江南岸,,三居,洪山,在售,普通住宅,17500,元/㎡,nan
能建·长江华府,,三居,江岸,在售,普通住宅,34000,元/㎡,350万元
中国电建地产·洺悦江湾,,三居,汉阳,在售,普通住宅,18000,元/㎡,nan
大华锦绣前城,,三居,青山,在售,普通住宅,21500,元/㎡,204万元
金地国际城,,二居,蔡甸,在售,普通住宅,7900,元/㎡,62万元
信达地产天纵第五园,,二居,硚口,在售,普通住宅,15800,元/㎡,128万元
天创黄金时代,,三居,汉阳,在售,普通住宅,11000,元/㎡,104万元
融创光谷壹号院,,三居,东湖高新区,在售,普通住宅,29500,元/㎡,310万元
尚城国际,,三居,汉阳,在售,普通住宅,16000,元/㎡,170万元
联投临溪渚,,二居,东湖高新区,,合院,8500,元/㎡,94万元
天创长江云栖风华,直播中,三居,汉阳,,普通住宅,,nan,nan
保利·锦上,,三居,洪山,在售,普通住宅,20900,元/㎡,284万元
龙湖·揽境,真现房,三居,硚口,在售,普通住宅,13500,元/㎡,168万元
武汉沙湖中心·云玺,,,武昌,在售,地铁沿线,13000,元/㎡,nan
中建壹品·汉芯公馆,纯新盘,三居,江岸,,普通住宅,,nan,nan
保利天珺,,三居,江岸,在售,普通住宅,45000,元/㎡,520万元
大华铂金悦府,真大牌,三居,青山,在售,普通住宅,22000,元/㎡,218万元
中国铁建·花语天著,真大牌,三居,江岸,在售,普通住宅,13300,元/㎡,129万元
中寰润府,真大牌,四居,江岸,在售,普通住宅,36000,元/㎡,504万元
龙湖·御湖境,纯新盘,三居,洪山,在售,大平层,32000,元/㎡,384万元
龙湖清能天曜,真大牌,三居,江岸,在售,普通住宅,26919,元/㎡,350万元
武汉城建悦享湖璟,,三居,经济开发区,在售,普通住宅,101,万元/套,nan
华发公园首府,,三居,硚口,在售,普通住宅,32000,元/㎡,nan
武汉二十四城,,三居,东西湖,在售,普通住宅,10500,元/㎡,83万元
联投花山河,,三居,东湖高新区,,普通住宅,15000,元/㎡,149万元
万科新都会,,三居,洪山,在售,普通住宅,28000,元/㎡,246万元
万科保利联投理想星光,,三居,江夏,在售,普通住宅,12500,元/㎡,113万元
禹洲朗廷元著,,三居,经济开发区,在售,普通住宅,13500,元/㎡,160万元
武汉城建·中央云城,,三居,江汉,在售,普通住宅,45000,元/㎡,nan
地铁时代云上城,,二居,东西湖,在售,普通住宅,14000,元/㎡,116万元
保利庭瑞·阅江台,,三居,汉阳,在售,普通住宅,17000,元/㎡,138万元
楚天都市春水行云,,四居,洪山,在售,合院,40000,元/㎡,nan
武汉长江中心·云玺,,,武昌,在售,loft,13000,元/㎡,nan
澳门山庄二期,,三居,江夏,在售,普通住宅,11600,元/㎡,nan
万科华生公园大道,,三居,硚口,在售,普通住宅,16500,元/㎡,nan
金融街金悦府,,三居,江夏,在售,普通住宅,16500,元/㎡,nan
城投联投江南岸,,三居,洪山,在售,普通住宅,17500,元/㎡,nan
能建·长江华府,,三居,江岸,在售,普通住宅,34000,元/㎡,350万元
中国电建地产·洺悦江湾,,三居,汉阳,在售,普通住宅,18000,元/㎡,nan
大华锦绣前城,,三居,青山,在售,普通住宅,21500,元/㎡,204万元
金地国际城,,二居,蔡甸,在售,普通住宅,7900,元/㎡,62万元
信达地产天纵第五园,,二居,硚口,在售,普通住宅,15800,元/㎡,128万元
天创黄金时代,,三居,汉阳,在售,普通住宅,11000,元/㎡,104万元
融创光谷壹号院,,三居,东湖高新区,在售,普通住宅,29500,元/㎡,310万元
尚城国际,,三居,汉阳,在售,普通住宅,16000,元/㎡,170万元
联投临溪渚,,二居,东湖高新区,,合院,8500,元/㎡,94万元
天创长江云栖风华,直播中,三居,汉阳,,普通住宅,,nan,nan
保利·锦上,,三居,洪山,在售,普通住宅,20900,元/㎡,284万元
龙湖·揽境,真现房,三居,硚口,在售,普通住宅,13500,元/㎡,168万元
武汉沙湖中心·云玺,,,武昌,在售,地铁沿线,13000,元/㎡,nan
中建壹品·汉芯公馆,纯新盘,三居,江岸,,普通住宅,,nan,nan
保利天珺,,三居,江岸,在售,普通住宅,45000,元/㎡,520万元
大华铂金悦府,真大牌,三居,青山,在售,普通住宅,22000,元/㎡,218万元
中国铁建·花语天著,真大牌,三居,江岸,在售,普通住宅,13300,元/㎡,129万元
中寰润府,真大牌,四居,江岸,在售,普通住宅,36000,元/㎡,504万元
龙湖·御湖境,纯新盘,三居,洪山,在售,大平层,32000,元/㎡,384万元
龙湖清能天曜,真大牌,三居,江岸,在售,普通住宅,26919,元/㎡,350万元
武汉城建悦享湖璟,,三居,经济开发区,在售,普通住宅,101,万元/套,nan
武汉二十四城,,三居,东西湖,在售,普通住宅,10500,元/㎡,83万元
万科新都会,,三居,洪山,在售,普通住宅,28000,元/㎡,246万元
联投花山河,,三居,东湖高新区,,普通住宅,15000,元/㎡,149万元
万科保利联投理想星光,,三居,江夏,在售,普通住宅,12500,元/㎡,113万元
华发公园首府,,三居,硚口,在售,普通住宅,32000,元/㎡,nan
禹洲朗廷元著,,三居,经济开发区,在售,普通住宅,13500,元/㎡,160万元
武汉城建·中央云城,,三居,江汉,在售,普通住宅,45000,元/㎡,nan
地铁时代云上城,,二居,东西湖,在售,普通住宅,14000,元/㎡,116万元
保利庭瑞·阅江台,,三居,汉阳,在售,普通住宅,17000,元/㎡,138万元
楚天都市春水行云,,四居,洪山,在售,合院,40000,元/㎡,nan
武汉长江中心·云玺,,,武昌,在售,loft,13000,元/㎡,nan
澳门山庄二期,,三居,江夏,在售,普通住宅,11600,元/㎡,nan
万科华生公园大道,,三居,硚口,在售,普通住宅,16500,元/㎡,nan
金融街金悦府,,三居,江夏,在售,普通住宅,16500,元/㎡,nan
城投联投江南岸,,三居,洪山,在售,普通住宅,17500,元/㎡,nan
能建·长江华府,,三居,江岸,在售,普通住宅,34000,元/㎡,350万元
中国电建地产·洺悦江湾,,三居,汉阳,在售,普通住宅,18000,元/㎡,nan
大华锦绣前城,,三居,青山,在售,普通住宅,21500,元/㎡,204万元
金地国际城,,二居,蔡甸,在售,普通住宅,7900,元/㎡,62万元
信达地产天纵第五园,,二居,硚口,在售,普通住宅,15800,元/㎡,128万元
天创黄金时代,,三居,汉阳,在售,普通住宅,11000,元/㎡,104万元
融创光谷壹号院,,三居,东湖高新区,在售,普通住宅,29500,元/㎡,310万元
尚城国际,,三居,汉阳,在售,普通住宅,16000,元/㎡,170万元
联投临溪渚,,二居,东湖高新区,,合院,8500,元/㎡,94万元
天创长江云栖风华,直播中,三居,汉阳,,普通住宅,,nan,nan
保利·锦上,,三居,洪山,在售,普通住宅,20900,元/㎡,284万元
龙湖·揽境,真现房,三居,硚口,在售,普通住宅,13500,元/㎡,168万元
武汉沙湖中心·云玺,,,武昌,在售,地铁沿线,13000,元/㎡,nan
中建壹品·汉芯公馆,纯新盘,三居,江岸,,普通住宅,,nan,nan
保利天珺,,三居,江岸,在售,普通住宅,45000,元/㎡,520万元
大华铂金悦府,真大牌,三居,青山,在售,普通住宅,22000,元/㎡,218万元
中国铁建·花语天著,真大牌,三居,江岸,在售,普通住宅,13300,元/㎡,129万元
中寰润府,真大牌,四居,江岸,在售,普通住宅,36000,元/㎡,504万元
龙湖·御湖境,纯新盘,三居,洪山,在售,大平层,32000,元/㎡,384万元
龙湖清能天曜,真大牌,三居,江岸,在售,普通住宅,26919,元/㎡,350万元
武汉城建悦享湖璟,,三居,经济开发区,在售,普通住宅,101,万元/套,nan
华发公园首府,,三居,硚口,在售,普通住宅,32000,元/㎡,nan
武汉二十四城,,三居,东西湖,在售,普通住宅,10500,元/㎡,83万元
联投花山河,,三居,东湖高新区,,普通住宅,15000,元/㎡,149万元
万科新都会,,三居,洪山,在售,普通住宅,28000,元/㎡,246万元
万科保利联投理想星光,,三居,江夏,在售,普通住宅,12500,元/㎡,113万元
禹洲朗廷元著,,三居,经济开发区,在售,普通住宅,13500,元/㎡,160万元
武汉城建·中央云城,,三居,江汉,在售,普通住宅,45000,元/㎡,nan
地铁时代云上城,,二居,东西湖,在售,普通住宅,14000,元/㎡,116万元
保利庭瑞·阅江台,,三居,汉阳,在售,普通住宅,17000,元/㎡,138万元
楚天都市春水行云,,四居,洪山,在售,合院,40000,元/㎡,nan
武汉长江中心·云玺,,,武昌,在售,loft,13000,元/㎡,nan
澳门山庄二期,,三居,江夏,在售,普通住宅,11600,元/㎡,nan
万科华生公园大道,,三居,硚口,在售,普通住宅,16500,元/㎡,nan
金融街金悦府,,三居,江夏,在售,普通住宅,16500,元/㎡,nan
城投联投江南岸,,三居,洪山,在售,普通住宅,17500,元/㎡,nan
能建·长江华府,,三居,江岸,在售,普通住宅,34000,元/㎡,350万元
中国电建地产·洺悦江湾,,三居,汉阳,在售,普通住宅,18000,元/㎡,nan
大华锦绣前城,,三居,青山,在售,普通住宅,21500,元/㎡,204万元
金地国际城,,二居,蔡甸,在售,普通住宅,7900,元/㎡,62万元
信达地产天纵第五园,,二居,硚口,在售,普通住宅,15800,元/㎡,128万元
天创黄金时代,,三居,汉阳,在售,普通住宅,11000,元/㎡,104万元
融创光谷壹号院,,三居,东湖高新区,在售,普通住宅,29500,元/㎡,310万元
尚城国际,,三居,汉阳,在售,普通住宅,16000,元/㎡,170万元
联投临溪渚,,二居,东湖高新区,,合院,8500,元/㎡,94万元
天创长江云栖风华,直播中,三居,汉阳,,普通住宅,,nan,nan
保利·锦上,,三居,洪山,在售,普通住宅,20900,元/㎡,284万元
龙湖·揽境,真现房,三居,硚口,在售,普通住宅,13500,元/㎡,168万元
武汉沙湖中心·云玺,,,武昌,在售,地铁沿线,13000,元/㎡,nan
中建壹品·汉芯公馆,纯新盘,三居,江岸,,普通住宅,,nan,nan
保利天珺,,三居,江岸,在售,普通住宅,45000,元/㎡,520万元
大华铂金悦府,真大牌,三居,青山,在售,普通住宅,22000,元/㎡,218万元
中国铁建·花语天著,真大牌,三居,江岸,在售,普通住宅,13300,元/㎡,129万元
中寰润府,真大牌,四居,江岸,在售,普通住宅,36000,元/㎡,504万元
龙湖·御湖境,纯新盘,三居,洪山,在售,大平层,32000,元/㎡,384万元
龙湖清能天曜,真大牌,三居,江岸,在售,普通住宅,26919,元/㎡,350万元
武汉城建悦享湖璟,,三居,经济开发区,在售,普通住宅,101,万元/套,nan
华发公园首府,,三居,硚口,在售,普通住宅,32000,元/㎡,nan
武汉二十四城,,三居,东西湖,在售,普通住宅,10500,元/㎡,83万元
联投花山河,,三居,东湖高新区,,普通住宅,15000,元/㎡,149万元
万科新都会,,三居,洪山,在售,普通住宅,28000,元/㎡,246万元
万科保利联投理想星光,,三居,江夏,在售,普通住宅,12500,元/㎡,113万元
禹洲朗廷元著,,三居,经济开发区,在售,普通住宅,13500,元/㎡,160万元
武汉城建·中央云城,,三居,江汉,在售,普通住宅,45000,元/㎡,nan
地铁时代云上城,,二居,东西湖,在售,普通住宅,14000,元/㎡,116万元
保利庭瑞·阅江台,,三居,汉阳,在售,普通住宅,17000,元/㎡,138万元
楚天都市春水行云,,四居,洪山,在售,合院,40000,元/㎡,nan
武汉长江中心·云玺,,,武昌,在售,loft,13000,元/㎡,nan
澳门山庄二期,,三居,江夏,在售,普通住宅,11600,元/㎡,nan
万科华生公园大道,,三居,硚口,在售,普通住宅,16500,元/㎡,nan
金融街金悦府,,三居,江夏,在售,普通住宅,16500,元/㎡,nan
城投联投江南岸,,三居,洪山,在售,普通住宅,17500,元/㎡,nan
能建·长江华府,,三居,江岸,在售,普通住宅,34000,元/㎡,350万元
中国电建地产·洺悦江湾,,三居,汉阳,在售,普通住宅,18000,元/㎡,nan
大华锦绣前城,,三居,青山,在售,普通住宅,21500,元/㎡,204万元
金地国际城,,二居,蔡甸,在售,普通住宅,7900,元/㎡,62万元
信达地产天纵第五园,,二居,硚口,在售,普通住宅,15800,元/㎡,128万元
天创黄金时代,,三居,汉阳,在售,普通住宅,11000,元/㎡,104万元
融创光谷壹号院,,三居,东湖高新区,在售,普通住宅,29500,元/㎡,310万元
尚城国际,,三居,汉阳,在售,普通住宅,16000,元/㎡,170万元
联投临溪渚,,二居,东湖高新区,,合院,8500,元/㎡,94万元
天创长江云栖风华,直播中,三居,汉阳,,普通住宅,,nan,nan
保利·锦上,,三居,洪山,在售,普通住宅,20900,元/㎡,284万元
龙湖·揽境,真现房,三居,硚口,在售,普通住宅,13500,元/㎡,168万元
武汉沙湖中心·云玺,,,武昌,在售,地铁沿线,13000,元/㎡,nan
中建壹品·汉芯公馆,纯新盘,三居,江岸,,普通住宅,,nan,nan
保利天珺,,三居,江岸,在售,普通住宅,45000,元/㎡,520万元
大华铂金悦府,真大牌,三居,青山,在售,普通住宅,22000,元/㎡,218万元
中国铁建·花语天著,真大牌,三居,江岸,在售,普通住宅,13300,元/㎡,129万元
